sample_index,elapsed_seconds,timestamp,raw_adc
388,40.578000,2026-09-08T10:51:33.456+08:00,2071
389,40.610000,2026-09-08T10:51:33.488+08:00,2051
390,40.625000,2026-09-08T10:51:33.503+08:00,2025
391,40.657000,2026-09-08T10:51:33.535+08:00,2011
392,40.688000,2026-09-08T10:51:33.566+08:00,1994
393,40.719000,2026-09-08T10:51:33.597+08:00,1972
394,40.735000,2026-09-08T10:51:33.613+08:00,1953
395,40.766000,2026-09-08T10:51:33.644+08:00,1940
396,40.782000,2026-09-08T10:51:33.660+08:00,1925
397,40.813000,2026-09-08T10:51:33.691+08:00,1910
398,40.844000,2026-09-08T10:51:33.722+08:00,1897
399,40.860000,2026-09-08T10:51:33.738+08:00,1889
400,40.922000,2026-09-08T10:51:33.800+08:00,1868
401,40.938000,2026-09-08T10:51:33.816+08:00,1862
402,40.969000,2026-09-08T10:51:33.847+08:00,1857
403,41.000000,2026-09-08T10:51:33.878+08:00,1859
404,41.016000,2026-09-08T10:51:33.894+08:00,1859
405,41.047000,2026-09-08T10:51:33.925+08:00,1865
406,41.078000,2026-09-08T10:51:33.956+08:00,1870
407,41.094000,2026-09-08T10:51:33.972+08:00,1876
408,41.125000,2026-09-08T10:51:34.003+08:00,1884
409,41.157000,2026-09-08T10:51:34.035+08:00,1893
410,41.172000,2026-09-08T10:51:34.050+08:00,1903
411,41.203000,2026-09-08T10:51:34.081+08:00,1913
412,41.235000,2026-09-08T10:51:34.113+08:00,1921
413,41.250000,2026-09-08T10:51:34.128+08:00,1928
414,41.282000,2026-09-08T10:51:34.160+08:00,1939
415,41.313000,2026-09-08T10:51:34.191+08:00,1943
416,41.328000,2026-09-08T10:51:34.206+08:00,1952
417,41.360000,2026-09-08T10:51:34.238+08:00,1961
418,41.391000,2026-09-08T10:51:34.269+08:00,1967
419,41.407000,2026-09-08T10:51:34.285+08:00,1972
420,41.438000,2026-09-08T10:51:34.316+08:00,1974
421,41.469000,2026-09-08T10:51:34.347+08:00,1981
422,41.485000,2026-09-08T10:51:34.363+08:00,1985
423,41.516000,2026-09-08T10:51:34.394+08:00,1990
424,41.547000,2026-09-08T10:51:34.425+08:00,1992
425,41.563000,2026-09-08T10:51:34.441+08:00,1999
426,41.594000,2026-09-08T10:51:34.472+08:00,2000
427,41.641000,2026-09-08T10:51:34.519+08:00,2015
428,41.672000,2026-09-08T10:51:34.550+08:00,2021
429,41.703000,2026-09-08T10:51:34.581+08:00,2024
430,41.719000,2026-09-08T10:51:34.597+08:00,2024
431,41.750000,2026-09-08T10:51:34.628+08:00,2025
432,41.782000,2026-09-08T10:51:34.660+08:00,2026
